,Exhibitor,Address,City,Zip,Tel,Country,email,About,Key Words,Logo,WebSite,Hall,Stand
74,"APACK, Inc.","838 Daedeok-daero, Yuseong-gu",Daejeon,34055,+82 428640815,"Korea, the Republic of (South)",sales@apack.net,"Since 1999, APACK has provided worldwide high-quality products based on patented, specialized thermal technology. We manufacture...","['LED lighting ', 'Horticulture lighting ', 'Smart street lighting', 'Industrial LED lighting ', 'Sport LED lighting']",,www.apack.net,4.1,K30
75,Apricum d.o.o.,Mazuraniceva 4,Podstrana,21312,+385 21507600,Croatia,apricum@apricum.com,Apricum is a leading manufacturer of KNX devices in Southeast Europe. We manufacture the best KNX quality at an advantageous...,"['Power Supply', 'interface', 'KNX', 'coupler']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0051568349/RGB_JPG_Apricum.jpg,www.apricum.com,9.0,C89
76,Archilight s.r.o.,Ke Zvoli 783,Dolni Brezany,252 41,+420 731172018,Czech Republic,srb@archilight.cz,"Since 2004, Archilight designs and manufactures architectural light and lighting systems with focus on functionality, efficiency...","['lighting', 'architectural lighting', 'bespoke lighting', 'office lighting', 'lighting production']",,www.archilight.eu,3.0,F50
77,Architonic part of DAAily platforms AG,Müllerstrasse 71,Zürich,8004,+41 442972020,Switzerland,info@architonic.com,"With our carefully considered showcase of over 400.000 premium design products and materials, Architonic is the number-one...","['Architecture', 'Architonic', 'Product Design', 'Interior', 'Design']",,www.architonic.com,3.1,B27
78,ARCUS Electronic Design Services GmbH,Rigaer Str. 88,Berlin,10247,+49 3025933913,Germany,info@arcus-eds.de,"	KNX product range - arcus-eds develops, produces and sells components for the KNX bus","['KNX HLK', 'KNX IP Gateway', 'arcus-eds gmbh', 'KNX Smart Metering', 'KNX_Visualisierung']",,www.arcus-eds.de,9.0,C55
79,Arde Aydinlatma San. Tic. Ltd Sti,Emek Mahallesi Sirdas Sokak 27,Sancaktepe/Istanbul,34776,+90 2166021141,Türkiye,info@detayaydinlatma.com.tr,"Detay Lighting established in 1993 in Istanbul, Detay Lighting operates in the production, sales and export of LED lighting...","['Outdoor Lighting', 'Street Lighting', 'Floodlight', 'Industrial Lighting', 'Exterior Lighting']",,www.detayaydinlatma.com.tr,4.1,G20
80,ARDIC Elektrik San. ve Tic. Ltd. Sti.,"Beylikduzu OSB Mah. Hurriyet Blv. ASF Plaza, No: 10/11",Istanbul,34524,+90 2124441364,Türkiye,import@ardic.com,ARDIC IS A  LEADING  SPECIALISED MANUFACTURER OF STEEL CABLE MANAGEMENT SYSTEMS  SINCE 1992. OUR MAIN PRODUCTS ARE CABLE...,"['underfloor ducting', 'Cable trays', 'Electrical installation materials', 'u channel profiles', 'Metal cable management systems']",,www.ardic.com,12.1,D35
81,Arditi S.p.A.,Via Caberardi 3,Val Brembilla,24012,+39 034552111,Italy,arditi@arditi.com,Arditi S.p.A. is an Italian company that since 1960 has been operating in the lighting sector supplying electronic and conventional...,"['CASAMBI', 'DIMMER', 'LED DRIVER ', 'STREET LIGHTING', 'LIGHTING COMPONENTS']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0011038257/RGB_JPG_Arditi.jpg,www.arditi.com,8.0,C49
82,ARGETRON,Ikitelli OSB. Bedrettin Dalan Bulvari Metro AVM B blok NO:27,Istanbul,34490,+90 2124070181,Türkiye,mehmet.budak@argetron.com,,"['DMX 512 RECEIVER CONSTANT CURRENT-CONSTANT VOLTAGE', 'DMX DECODER', ' RGB RGBW PWM', 'ARTNET', 'RDM']",,www.argetron.com,8.0,G10
83,Arline Srl,Via Lodovico Mancini 5,Milano,20129,+39 0261461765,Italy,info@arline.it,"Arteleta srl, today ARline srl, was founded in Milan by Samuel Sullam on October 17th, 1944, and has been operating in the...","['cable pulling systems', 'fiberglass rod', 'cable duct', 'cable laying systems', 'arteleta']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0015022149/RGB_JPG_Ar_line.jpg,www.arline.it,9.0,A60
84,Armadillo Lighting Ltd,Bigods Lane,"Great Dunmow, Essex",CM6 3BE,+44 1371876969,Great Britain and Northern Ireland,,,[],,,3.0,D56
85,"Aromas del Campo, S.L.",Poligono Industrial L´horta Vella,Betera,46117,+34 962737953,Spain,aromas@aromasdelcampo.com,"	In Aromas del Campo we began our journey as a company in 1986, in Valencia. At that time our speciality was the manufacturing...","['Table lamp', 'Aromas', 'Lamp', 'Decorative Lighting', 'Pendant lamp']",,www.aromasdelcampo.com,3.1,E50
86,Aronlight Lda.,Praceta das Gaias 15,Amadora,2610-081,+351 916348775,Portugal,manuel.vidigal@aronlight.pt,Aronlight is a registered trademark dedicated to the development and commercialization of high quality LED lighting products.The...,"['LED', 'industrial', 'street light', 'garden and outdoor', 'architectural']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0015054278/RGB_JPG_Aronlight.jpg,www.aronlight.pt,4.1,B27
87,Arrant-Light Oy,Rajakivenkatu 8,Turku,20740,+358 22462300,Finland,info@light.fi,"aLED BrandLighting industry professionals, we have an answer to all your problems. And the answer is called aLED. aLED introduces...","['LED drivers', 'LED modules', 'LED strips', 'LED lighting components', 'LED power supplies']",,www.light.fi,8.0,F02
88,Artcoustic Loudspeakers,Hesseløgade 16,Kopenhagen,2100,+45 32836060,Denmark,info@artcoustic.com,"The Preferred Sound Partner for Architects & Interior DesignersUsually, you have to choose between great sound or great design...","['Loudspeaker', 'Lautsprecher', 'Danish Design']",,www.artcoustic.com,3.1,C81
89,Arte Elektronik A.S.,"Imes OSB, Imes 1 Bulvari, 17 Parsel, 620",Cerkesli - Dilovasi/Kocaeli,41455,+90 2163050180,Türkiye,ozge.uyanik@arteelektronik.com.tr,"	Arte Elektronik was founded in Istanbul / Turkey in 2003. We acquired the single sided, double sided, multilayer and aluminum...","['multilayer pcb', 'printed circuit board', 'aluminum pcb', 'cem1', 'pcb']",,www.artepcb.com,8.0,J29
90,Artemide Deutschland GmbH &amp; Co. KG,Hans-Böckler-Str. 2,Fröndenberg/Ruhr,58730,+49 23739750,Germany,info@artemide.de,A BLEND OF DESIGN AND INNOVATIONAs a leading international manufacturer of designer lighting and architectural illumination...,"['architectural lighting', 'technical luminaires', 'design luminaires', 'bespoke lighting solutions', 'outdoor luminaires']",https://exhibitorsearch.messefrankfurt.com/images/medium/mics/migration_feria/07226036.jpg,www.artemide.com,3.1,F51
91,Artika For Living Inc.,1756 50e Avenue,Lachine,H8T 2V5,+1 5146366668101,Canada,,Artika is a Canadian company that designs and distributes lighting fixtures on four continents that reinvent the design of...,"['Lighting', 'Design', 'LED', 'Modern Mid-Century', 'Innovation']",,www.artika.com,6.0,A56
92,"Artilect Green Co., Ltd.","6F, 34-1, Chiu Chuan St.",Taipei City,10367,+886 225976188,Taiwan,info@artilectgreen.com,"Artilect Green Co., Ltd. as a member of Sagatek Group, is specialized in smart energy solution since 2000, and split off...","['dali', 'dali2', 'd4i', 'gateway', 'light control']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0015045015/1664437811156_Artilect-logo-English-clear.png,,8.0,D70
93,"Artinox - Fabrica Metalurgica, SA","Rua Fonte Moura, 227, Vale do Grou",Aguada de Cima,3750-064,+351 234660980,Portugal,r.abrantes@artinox.pt,ARTINOX is a manufacture Indoor Lighting company with his own production process based in Portugal - city of Agueda - fully...,"['Decorative Lighting ', 'Wall Lamps ', 'Table Lamps ', 'Floor Lamps ', 'Reading Lamps ']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0015013917/RGB_JPG_Artinox.jpg,www.artinox.pt,3.1,E34
94,"FPH &acute;ART Metal&acute; Jolanta Dobrodziej, Grzegorz Dobrodziej Sp. J.",Jabloniowa 124,Lapinio Kartuskie,83-331,+48 586818065,Poland,info@art-metal.pl,"Art Metal Sp.j (a general partnership company) is a Polish manufacturer of classical and modern lanterns, outdoor luminaries...","['poles', 'outdoor lighting', 'classical lanterns', 'LED luminaries', 'small architecture']",,www.art-metal.pl,4.0,C74
95,ASA Plastici Srl,Via Michelangelo Buonarroti 58/60,Trezzano sul Naviglio (MI),20090,+39 024455894,Italy,commerciale@asaplastici.it,"	Founded in 1975, ASA has always been collaborating with the most important names in the furniture industry by designing...","['Versalogic', 'Power distribution system', 'Electrical devices', 'Power system']",,www.asaplastici.com,12.0,C03
96,Asetronics AG,Freiburgstrasse 251,Bern,3018,+41 313293111,Switzerland,christof.kohler@asetronics.ch,,[],,www.asetronics.ch,4.1,G31
97,"Asia Unique LED Lighting Co., Limited","Room 1902, Easey Commercial Building 253-261 Hennessy Road",Wanchai,999077,+86 13728858458,Hong Kong,auniqueled@ledofchina.com,,[],,www.ledofchina.com,8.0,A95D
98,ASM Security Kft.,Kun utca 4. fsz. 7.,Budapest,1081,+36 56510740,Hungary,adrienn.szoke@asm-security.hu,ASM Security Ltd. started its operation in the Hungarian Safety and Security market in 1997. Since coming to existence the...,"['UL certified', 'addressable emergency light', 'emergency light exit sign', 'central battery system', 'emergency luminaire']",,www.clever-light.com,4.1,A56
99,Asp&ouml;ck Systems GmbH,Enzing 4,Peuerbach,4722,+43 72762670,Austria,info@aspoeck-lumeu.com,"The Aspöck Group has been putting the light on the road for 45 years, making it Europe‘s leading manufacturer of prefabricated...","['LED Systeme', 'LED-Stripes', 'Linear encapsulated LED systems', 'Linear verkapselte LED Systems', 'LED-Module']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0012125104/RGB_JPG_Aspoeck_Lumeu.jpg,www.aspoeck-lumeu.at,4.1,D71
100,ASSA ABLOY Ltd,30 Stilebrook Rd.,Milton Keynes,MK46 5EA,,Great Britain and Northern Ireland,,,[],,,8.0,J90
101,ASSA ABLOY Sicherheitstechnik GmbH,Bildstockstr. 20,Albstadt,72458,+49 74311230,Germany,albstadt@assaabloy.com,ASSA ABLOY Sicherheitstechnik GmbH is the professional partner worldwide in mechanical and electromechanical security solutions...,"['Sicherheitstechnik', 'Zutrittskontrolle', 'Rettungsweg', 'Zugangskontrolle', 'T&uuml;r&ouml;ffner', 'Digitale Schlie&szlig;anlage']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0010627290/RGB_JPG_ASSAABLOY.jpg,www.assaabloy.com/de,12.1,E71
102,Associazione Nazionale Produttori Illuminazione - ASSIL,Via Andrea Saccardo 9,Milano,20134,+39 0297373352,Italy,marketing.comunicazione@assil.it,"ASSIL is the Italian Association of Lighting ManufacturersMember of ANIE Confindustria, it represent over 80 companies manufacturing...",[],,www.assil.it,4.1,FOY3
103,Astel d.o.o,Dutovlje 138,Dutovlje,SI 6221,+386 57310771,Slovenia,info@astel-lighting.com,The company ASTEL d.o.o. was established in 1991 and has been one of the leading European manufacturers of video surveillance...,"['LED exterior lights', 'underwater lighting', 'outdoor lighting', 'LED and OLED interior lights', 'lighting']",,www.astel-lighting.com,4.1,K26
104,Astep ApS,Esplanaden 6,Copenhagen,1263,+45 70705001,Denmark,info@astep.design,"Astep is a yong, contemporary design company with a rich legacy. Founded in 2016 by Alessandro Sarfatti with the vision of...","['Sarfatti', 'Home interiors', 'Italian Design', 'Lighting', 'Astep']",,www.astep.design,3.1,C81
105,A.T.E.C. S.r.l.,Via Nobel 8,Noventa di Piave (VE),30020,+39 042165288,Italy,marketing@tutondo.com,"TUTONDO:A.T.E.C. Srl is a leading Italian company operating in the audio diffusion sector, founded in 1976. Produces and...","['Multiroom', 'Loudspeakers', 'Audio', 'Paging and evacuation systems', 'Control systems']",,www.tutondo.com,8.0,K85
106,Atelier Luxus SRL,rue de la Baronnerie 9,Aywaille,4920,+32 494515155,Belgium,export1@ceagroupe.com,"	Since its creation Luxus is determined to always offer the extraordinary. The superlative. The best. Edges of Luxus, the...","['luxury electrical material', 'hospitality switches', 'high-end socket', 'luxury switch', 'design switch']",,www.atelierluxus.com,11.1,B31
107,Atena Lux S.r.l.,Via Giai 33,Gruaro (VE),30020,+39 0421760100,Italy,info@atenalux.com,"Founded in 1994, ATENA LUX is a dynamic and young company, recognised as manufacturer of lighting solutions for technical...","['ITALIAN MANUFACTURER', 'PIXEL', 'LIGHTING BAFFLE', 'ATENA LUX', 'LAMBDA']",https://exhibitorsearch.messefrankfurt.com/images/medium/mics/migration_feria/20008263.jpg,www.atenalux.com,3.0,F49
108,Atenic GmbH,Lauchwasenstraße 1,Kronau,76709,,Germany,,,[],,,4.1,F44
109,ATM Lighting Sp. z o.o.,Budowlanych 31,Gdansk,80-298,+48 668186006,Poland,export@atmlighting.pl,ATM Lighting is polish producer of industrial light fittings. The company was founded in 2011. In the 10 years we became...,"['ATEX Lighting', 'Industrial  Lighting', 'Explosionproof Lighting', 'IK10+ Lighting', 'Vandalproof Lighting']",https://exhibitorsearch.messefrankfurt.com/images/medium/mics/migration_feria/07125041.jpg,www.atmlighting.pl,4.1,B02
110,ATRA - 96 OOD,242 Vasil Levski blvd.,Plovdiv,4003,,Bulgaria,,Atra 96 Ltd. Company is a leading manufacturer in Bulgaria of lighting fixtures and electro installation articles. We offer...,"['electrical installation', 'power strip', 'led', 'retro lamp switch', 'plugs and sockets']",,,12.0,B81
111,Attema B.V.,Schelluinsestraat 1,Gorinchem,4203 NJ,+31 183650650,Netherlands,info@attema.nl,ATTEMA is an ambitious developer and producer of innovative solutions. These can be subdivided into market segments: Installation...,"['Steckbar installieren', 'Kabel Abzweigdosen', 'Aufputz dosen', 'Cable junction boxes', 'Plug Play']",,www.attema.com,12.0,E61
112,Audax Electronics Ltda.,Rua Giovanni Grassi 88,Sao Bernardo do Campo,09862-300,+55 1140540246,Brazil,comercial@audaxled.com,"AUDAX Electronics is a Brazilian company established in 2012, focused on development of solid state lighting solutions (LEDs...","['Light Engines', 'Custom LED LIGHT ENGINES', 'Solid State Lighting Solutions', 'LED']",,www.audaxled.com,4.1,J09
113,"Auralight Portugal, LDA","Avenida 29 De Agosto, 268",Terrugem SNT,2705-917,+351 966004040,Portugal,paulo.goncalves@auralight.pt,"At Aura Light, we work for the living spaces and the people in them.With Swedish origins and a history dating back to 1930...","['Smart Lighting Solutions', 'Smart Cities ', 'Smart Lighting ', 'Horizontal Irrigation', 'Horizontal plataform']",,,4.1,D42
114,Aurinko LED Solutions (HK) Ltd.,"Unit 506A, 5/F, Fu Hang Industrial Bldg., 1 Hok Yuen Street East, Hunghom",Kowloon,,+852 25906999,Hong Kong,sales@aurinko-led.com,"Aurinko LED Solutions (HK) Limited, situated in Hong Kong, one of the most significant financial centers and trade ports...","['Outdoor LED Flex', 'Human Centric Light', 'Light Bar', 'DMX Smart Light', 'Horticulture light ']",,www.aurinko-led.com,8.0,K58A
115,Aurora Lichtwerke GmbH,Industriestr. 20,Eichstätt,85072,+49 84216090,Germany,info@aurora-licht.com,"Based on our more than 60 years of experience as a professional company in the lighting industry, we provide our customers...","['LED', 'Leuchten', 'Entkeimung', 'PoE', 'Desinfektion']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0052364897/RGB_JPG_AURORA.jpg,https://aurora-licht.de/,4.1,D30
116,"Auroras Innotech (GuangDong) Co., Ltd","2/F 617# HuaYu Road, Xiang Zhou District",Zhuhai,519000,+86 18023075361,China,asleds@163.com,"Auroras is an innovative manufacturer of solar lights accredited by ISO9001, ISO14001, ISO45001, BSCI, etc. Since established...","['Solar led street light', 'Outdoor solar lighting', 'Vertical solar panel', 'Solar led flood light', 'Solar led garden light']",,www.auroraslighting.com,8.0,N38
117,AUTHENTAGE,Stokerijstraat 67,Wijnegem,2110,+32 479891189,Belgium,info@authentage.be,"Our collections combine high-quality, sustainable materials with the latest lighting technology. We produce designs with...","['handmade; handgefertigt', 'wall light; Wandleuchte', 'outdoor lighting; Au&szlig;enbeleuchtung', 'customization; Personalisierung', 'spot lights; Strahler']",,www.authentage.be,6.0,D20
118,"AVANTLED - Soluciones de Iluminaci&oacute;n LED, S.L.",Rosello 13,Cornellá de Llobregat,08940,+34 937423018,Spain,info@avantled-ilu.com,A multidisciplinary professional team with extensive experience in Lighting projects. We always work to make it possible.If...,"['Tailor maid lighting', 'Luminaires', 'RGBW DMX Floodlights', 'High end office lighting', 'Industrial lighting']",,www.avantled-ilu.com,4.1,H41
119,AVE S.p.A.,via Mazzini 75,Rezzato (BS),25086,+39 03024981,Italy,export@ave.it,AVE S.p.A. is an Italian leader on the international scene of high quality electric and electronic equipment manufacturers...,"['KNX', 'IoT', 'British Standard', 'Wiring accessories', 'Smart home']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0011043700/RGB_JPG_AVE.jpg,www.ave.it,11.1,C11
120,"A Virtual Co., Ltd.","12 Cheomdanyeonsin-ro, Buk-gu",Gwangju,61089,+82 625728830,"Korea, the Republic of (South)",info@avirtual.co.kr,A company that presents a safe and comfortable environment with a next-generation air sterilization platform,"['Air sterilization', 'AI', 'UV-photocatalytic filter', 'Robotics', 'Autonomous driving']",,http://www.avirtual.co.kr/default/index_eng.php,4.1,J31
